deal_id,account,pipeline,stage,deal_value,sales_rep,deal_created,deal_closed,deal_activities_done,account_tier,account_province,account_store_type,account_tax_status,account_discount_pct,account_payment_terms,account_activities_done,account_deals_won
57,Account 0030,Orders,Shipped,124975.0,Rep A,2022-10-21,2022-11-01,0,Strategic,Santiago del Estero,Paint store,VAT registered,28.0,,6.0,2.0
58,Account 0031,Orders,Shipped on credit,126048.0,Rep C,2023-01-09,2023-01-27,2,Potential,Rio Negro,Art supply store,VAT registered,22.0,,4.0,2.0
59,Account 0032,Orders,Shipped,120363.0,Rep B,2023-03-22,2023-03-31,5,Potential,BA Centro,Paint store,VAT registered,28.0,30 days,6.0,2.0
60,Account 0033,Orders,Shipped,119485.0,Rep A,2022-12-23,2022-12-29,3,Standard,Entre Rios,Paint store,Simplified regime,28.0,Upfront,10.0,6.0
61,Account 0034,Orders,Shipped,126086.0,Rep C,2023-02-24,2023-03-07,0,Key,Chubut,Paint store,VAT registered,22.0,,3.0,1.0
62,Account 0027,Orders,Shipped,122313.0,Rep A,2022-07-29,2022-08-08,4,Potential,AMBA Sur,Workshop,Simplified regime,22.0,Upfront,12.0,17.0
63,Account 0035,Orders,Shipped,123029.0,Rep A,2022-12-13,2022-12-21,0,Potential,Formosa,Art supply store,VAT registered,22.0,,5.0,1.0
64,,Reseller onboarding,Onboarding,125233.0,Rep C,2022-10-08,2022-10-19,10,,,,,,,,
65,,Reseller onboarding,Onboarding,123644.0,Rep C,2022-11-18,2022-12-12,8,,,,,,,,
66,,Social media lead form,Onboarding,122654.0,Rep C,2023-01-22,2023-02-24,7,,,,,,,,
67,Account 0036,Orders,Shipped,121358.0,Rep A,2022-08-03,2022-10-03,2,Potential,Cordoba,Paint store,VAT registered,22.0,Upfront,14.0,5.0
68,Account 0015,Orders,Shipped on credit,115498.0,Rep A,2023-03-22,2023-04-12,1,,Santa Fe,Distributor,,28.0,,2.0,2.0
69,Account 0027,Orders,Shipped,111339.0,Rep B,2022-11-30,2022-12-01,4,Potential,AMBA Sur,Workshop,Simplified regime,22.0,Upfront,12.0,17.0
70,Account 0027,Orders,Shipped,115155.0,Rep B,2023-01-30,2023-02-06,1,Potential,AMBA Sur,Workshop,Simplified regime,22.0,Upfront,12.0,17.0
71,Account 0021,Orders,Shipped,111754.0,Rep A,2023-03-06,2023-03-09,4,Strategic,AMBA Norte,Paint store,VAT registered,22.0,,16.0,6.0
72,Account 0027,Orders,Shipped,112645.0,Rep B,2022-10-25,2022-11-01,1,Potential,AMBA Sur,Workshop,Simplified regime,22.0,Upfront,12.0,17.0
73,Account 0037,Orders,Shipped,114636.0,Rep A,2022-11-01,2022-11-07,0,Potential,Santiago del Estero,Paint store,VAT registered,22.0,,5.0,1.0
74,Account 0038,Orders,Shipped,107662.0,Rep A,2022-09-15,2022-10-03,0,Key,Mendoza,Paint store,VAT registered,22.0,,3.0,1.0
75,,Reseller onboarding,Onboarding,104950.0,Rep C,2021-06-01,2022-10-31,19,,,,,,,,
76,,Active customers,Won customer,107400.0,Rep C,2022-04-26,2022-10-31,20,,,,,,,,
77,,Active customers,Won customer,107534.0,Rep C,2022-09-07,2022-09-14,5,,,,,,,,
78,Account 0024,Orders,Shipped,111312.0,Rep A,2023-01-25,2023-01-27,0,Strategic,CABA,Paint store,VAT registered,28.0,Upfront,13.0,33.0
79,Account 0030,Orders,Shipped,110020.0,Rep A,2023-03-15,2023-03-27,1,Strategic,Santiago del Estero,Paint store,VAT registered,28.0,,6.0,2.0
80,Account 0039,Orders,Shipped,112347.0,Rep A,2022-09-13,2022-09-27,0,Potential,Cordoba,Art supply store,Simplified regime,28.0,,5.0,3.0
81,Account 0029,Orders,Shipped on credit,110858.0,Rep A,2022-02-09,2022-05-11,1,Strategic,CABA,Art supply store,VAT registered,28.0,Open account,16.0,18.0
82,Account 0040,Orders,Shipped on credit,106534.0,Rep A,2022-05-13,2022-07-21,1,Strategic,Santiago del Estero,Paint store,VAT registered,22.0,,18.0,7.0
83,Account 0041,Orders,Shipped on credit,110785.0,Rep B,2023-03-10,2023-04-14,0,Key,Cordoba,Art supply store,Simplified regime,22.0,30 days,10.0,11.0
84,Account 0042,Orders,Shipped,102698.0,Rep B,2022-11-18,2022-11-24,4,Standard,Santa Cruz,Other,VAT registered,22.0,,4.0,1.0
85,Account 0040,Orders,Shipped on credit,100634.0,Rep A,2023-01-27,2023-03-06,1,Strategic,Santiago del Estero,Paint store,VAT registered,22.0,,18.0,7.0
86,Account 0005,Orders,Shipped,100252.0,Rep A,2022-04-06,2022-05-09,0,Potential,Rio Negro,Paint store,VAT registered,22.0,Upfront,8.0,5.0
87,Account 0010,Orders,Shipped on credit,106157.0,Rep A,2022-01-04,2022-05-11,0,Strategic,CABA,Art supply store,VAT registered,22.0,Open account,13.0,10.0
88,Account 0043,Orders,Shipped,102792.0,Rep A,2022-08-29,2022-09-19,0,Potential,BA Atlantico,Paint store,VAT registered,28.0,,11.0,3.0
89,Account 0044,Orders,Shipped on credit,99310.0,Rep A,2022-12-21,2023-01-04,1,Potential,CABA,Art supply store,VAT registered,22.0,30 days,16.0,16.0
90,Account 0027,Orders,Shipped,100803.0,Rep A,2022-09-15,2022-09-27,0,Potential,AMBA Sur,Workshop,Simplified regime,22.0,Upfront,12.0,17.0
91,Account 0045,Orders,Shipped,96688.0,Rep A,2022-12-05,2023-01-13,5,Potential,AMBA Norte,Paint store,VAT registered,22.0,,14.0,3.0
92,Account 0013,Orders,Shipped on credit,101943.0,Rep A,2021-12-01,2022-05-11,0,Strategic,Santa Fe,Art supply store,VAT registered,22.0,,13.0,8.0
93,Account 0046,Orders,Shipped,98687.0,Rep A,2022-11-22,2022-12-06,0,Potential,BA Norte,Art supply store,VAT registered,22.0,,3.0,1.0
94,Account 0047,Orders,Shipped,97189.0,Rep A,2022-02-09,2022-03-07,0,Key,Cordoba,Other,VAT registered,22.0,,7.0,3.0
95,Account 0010,Orders,Shipped on credit,96256.0,Rep A,2021-10-22,2022-01-21,0,Strategic,CABA,Art supply store,VAT registered,22.0,Open account,13.0,10.0
96,Account 0024,Orders,Shipped,99336.0,Rep A,2022-06-07,2022-06-21,0,Strategic,CABA,Paint store,VAT registered,28.0,Upfront,13.0,33.0
97,,Active customers,Won customer,96251.0,Rep C,2022-04-11,2022-10-31,11,,,,,,,,
98,,Social media lead form,Onboarding,93575.0,Rep C,2022-11-03,2022-11-22,5,,,,,,,,
99,Account 0048,Orders,Shipped,93633.0,Rep A,2022-03-11,2022-03-18,0,Key,Entre Rios,Paint store,VAT registered,22.0,,11.0,4.0
100,Account 0044,Orders,Shipped on credit,101570.0,Rep A,2021-11-05,2022-01-21,0,Potential,CABA,Art supply store,VAT registered,22.0,30 days,16.0,16.0
101,Account 0049,Orders,Shipped on credit,100190.0,Rep B,2023-01-11,2023-02-14,3,Standard,AMBA Sur,Art supply store,VAT registered,28.0,,10.0,3.0
102,Account 0050,Orders,Shipped,97383.0,Rep B,2022-12-29,2023-01-04,2,Potential,AMBA Sur,Paint store,VAT registered,22.0,Upfront,15.0,7.0
103,Account 0051,Orders,Shipped,92405.0,Rep A,2022-08-23,2022-11-10,8,Potential,BA Atlantico,Paint store,VAT registered,22.0,,10.0,2.0
104,Account 0052,Orders,Shipped,98891.0,Rep A,2023-03-07,2023-03-09,2,Standard,Chaco,Paint store,VAT registered,7.0,,8.0,2.0
105,Account 0053,Orders,Shipped on credit,96576.0,Rep B,2023-02-16,2023-02-27,1,Potential,Neuquen,Art supply store,VAT registered,22.0,Upfront,13.0,4.0
106,Account 0054,Orders,Shipped,95789.0,Rep A,2022-04-21,2022-05-10,0,Key,AMBA Norte,Distributor,VAT registered,22.0,Upfront,10.0,7.0
107,Account 0055,Orders,Shipped,93112.0,Rep A,2022-08-25,2022-09-27,0,Potential,Santa Fe,Art supply store,,22.0,Upfront,6.0,1.0
108,Account 0023,Orders,Shipped,90766.0,Rep A,2022-01-12,2022-01-12,0,Key,Santa Fe,Art supply store,VAT registered,22.0,Upfront,16.0,4.0
109,Account 0056,Orders,Shipped,88632.0,Rep C,2023-03-29,2023-03-31,0,Key,Entre Rios,Art supply store,Simplified regime,22.0,,1.0,1.0
110,Account 0057,Orders,Shipped,95904.0,Rep B,2022-12-20,2023-01-02,6,Low,BA Atlantico,Art supply store,Simplified regime,22.0,,6.0,1.0
111,Account 0058,Orders,Shipped on credit,91459.0,Rep A,2022-06-13,2022-10-06,0,Key,Cordoba,Art supply store,VAT registered,,Upfront,1.0,1.0
112,Account 0059,Orders,Shipped on credit,89086.0,Rep A,2022-06-13,2022-07-22,0,Key,Cordoba,Paint store,VAT registered,28.0,Upfront,6.0,4.0
113,,Reseller onboarding,Onboarding,89725.0,Rep C,2020-09-01,2023-03-28,5,,,,,,,,
114,,Active customers,Won customer,92225.0,Rep C,2022-04-08,2022-10-31,14,,,,,,,,
115,,Reseller onboarding,Onboarding,88542.0,Rep C,2023-03-10,2023-03-30,4,,,,,,,,
116,,Reseller onboarding,Onboarding,94763.0,Rep C,2023-03-11,2023-03-30,6,,,,,,,,
117,,Reseller onboarding,Onboarding,93865.0,Rep C,2023-04-05,2023-04-14,3,,,,,,,,
118,Account 0060,Orders,Shipped,93410.0,Rep B,2022-09-22,2022-11-24,3,Key,BA Sur,Paint store,VAT registered,22.0,Upfront,21.0,8.0
119,Account 0006,Orders,Shipped on credit,90670.0,Rep A,2022-11-22,2022-12-22,1,Strategic,AMBA Sur,Art supply store,VAT registered,22.0,,9.0,5.0
120,Account 0061,Orders,Shipped,91693.0,Rep A,2021-12-09,2022-01-10,0,Key,AMBA Norte,Paint store,VAT registered,22.0,,13.0,3.0
121,Account 0028,Orders,Shipped on credit,90891.0,Rep B,2022-09-26,2022-10-03,1,Strategic,Cordoba,Art supply store,VAT registered,22.0,Open account,6.0,6.0
122,Account 0062,Orders,Shipped,91125.0,Rep B,2022-09-26,2022-10-13,3,Potential,Entre Rios,Paint store,VAT registered,22.0,,10.0,6.0
123,Account 0028,Orders,Shipped on credit,84817.0,Rep A,2021-11-17,2022-01-21,0,Strategic,Cordoba,Art supply store,VAT registered,22.0,Open account,6.0,6.0
124,Account 0063,Orders,Shipped,87215.0,Rep A,2022-12-13,2022-12-15,0,Potential,Chubut,Paint store,VAT registered,22.0,Upfront,16.0,5.0
125,Account 0064,Orders,Shipped,83906.0,Rep B,2023-03-15,2023-03-27,6,Potential,Cordoba,Paint store,VAT registered,22.0,,8.0,3.0
126,Account 0065,Orders,Shipped,87545.0,Rep C,2023-03-31,2023-04-04,0,Potential,Chaco,Workshop,Simplified regime,22.0,,1.0,1.0
127,Account 0066,Orders,Shipped,86070.0,Rep A,2022-01-25,2022-02-10,0,Standard,Tucuman,Paint store,,,,8.0,1.0
128,,Reseller onboarding,Onboarding,84129.0,Rep C,2022-12-29,2023-01-11,5,,,,,,,,
129,Account 0045,Orders,Shipped,83757.0,Rep A,2022-08-01,2022-09-23,2,Potential,AMBA Norte,Paint store,VAT registered,22.0,,14.0,3.0
130,Account 0067,Orders,Shipped on credit,87830.0,Rep A,2022-05-03,2022-07-08,0,Churned,CABA,Distributor,,,,0.0,3.0
131,Account 0067,Orders,Shipped on credit,84198.0,Rep A,2022-05-03,2022-07-08,0,Churned,CABA,Distributor,,,,0.0,3.0
132,Account 0067,Orders,Shipped on credit,90768.0,Rep A,2022-05-03,2022-07-08,0,Churned,CABA,Distributor,,,,0.0,3.0
133,Account 0068,Orders,Shipped on credit,87537.0,Rep C,2023-03-31,2023-04-04,0,Potential,Chubut,Other,VAT registered,22.0,,1.0,1.0
134,Account 0069,Orders,Shipped,85462.0,Rep B,2023-02-09,2023-02-17,9,Strategic,Santa Cruz,Other,VAT registered,15.0,,17.0,4.0
135,Account 0070,Orders,Shipped,87231.0,Rep C,2023-02-08,2023-02-10,0,Strategic,Neuquen,Paint store,VAT registered,22.0,,4.0,1.0
136,Account 0071,Orders,Shipped on credit,82197.0,Rep A,2022-02-09,2022-05-13,1,Potential,CABA,Art supply store,Simplified regime,22.0,30 days,20.0,14.0
137,Account 0072,Orders,Shipped,90269.0,Rep A,2022-11-01,2022-11-07,0,Potential,San Luis,Art supply store,Simplified regime,22.0,,4.0,3.0
138,Account 0062,Orders,Shipped,85949.0,Rep B,2022-09-30,2022-10-13,0,Potential,Entre Rios,Paint store,VAT registered,22.0,,10.0,6.0
139,,Reseller onboarding,Onboarding,88442.0,Rep C,2023-01-21,2023-02-07,9,,,,,,,,
140,Account 0073,Orders,Shipped,82224.0,Rep A,2022-09-30,2022-10-13,0,Potential,Cordoba,Art supply store,Simplified regime,22.0,,2.0,3.0
141,Account 0007,Orders,Shipped,85446.0,Rep A,2022-09-07,2022-09-19,0,Strategic,Santa Fe,Paint store,VAT registered,28.0,,18.0,6.0
142,,Reseller onboarding,Onboarding,85321.0,Rep C,2022-08-06,2022-11-01,17,,,,,,,,
143,,Social media lead form,Onboarding,89139.0,Rep C,2022-09-07,2022-09-29,6,,,,,,,,
144,Account 0019,Orders,Shipped on credit,85584.0,Rep C,2022-06-23,2022-08-08,4,Potential,BA Norte,Art supply store,VAT registered,28.0,,9.0,3.0
145,Account 0074,Orders,Shipped,84310.0,Rep B,2022-12-28,2023-01-04,4,Potential,BA Atlantico,Art supply store,Simplified regime,28.0,,6.0,5.0
146,Account 0075,Orders,Shipped,81981.0,Rep C,2023-02-14,2023-02-17,0,Potential,Santa Cruz,Art supply store,Simplified regime,22.0,,2.0,1.0
147,Account 0076,Orders,Shipped,82509.0,Rep C,2022-03-11,2022-05-02,0,Potential,Cordoba,Art supply store,Simplified regime,28.0,Upfront,15.0,4.0
148,Account 0053,Orders,Shipped,83961.0,Rep A,2022-04-04,2022-05-06,0,Potential,Neuquen,Art supply store,VAT registered,22.0,Upfront,13.0,4.0
149,Account 0010,Orders,Shipped on credit,83153.0,Rep A,2022-03-23,2022-05-11,0,Strategic,CABA,Art supply store,VAT registered,22.0,Open account,13.0,10.0
150,Account 0077,Orders,Shipped,79581.0,Rep A,2022-07-28,2022-08-17,0,Standard,AMBA Norte,Other,Simplified regime,22.0,,6.0,3.0
151,Account 0036,Orders,Shipped,85685.0,Rep A,2022-11-17,2022-11-24,3,Potential,Cordoba,Paint store,VAT registered,22.0,Upfront,14.0,5.0
152,Account 0078,Orders,Shipped,86228.0,Rep C,2023-02-23,2023-03-07,1,Potential,Santa Fe,Paint store,VAT registered,22.0,,2.0,1.0
153,Account 0079,Orders,Shipped,79873.0,Rep A,2022-09-20,2022-10-03,0,Low,Cordoba,Art supply store,VAT registered,15.0,,1.0,1.0
154,Account 0010,Orders,Shipped on credit,83081.0,Rep A,2021-11-16,2022-01-21,0,Strategic,CABA,Art supply store,VAT registered,22.0,Open account,13.0,10.0
155,Account 0080,Orders,Shipped,79243.0,Rep B,2023-02-13,2023-03-16,6,Key,Chubut,Art supply store,VAT registered,7.0,Upfront,9.0,2.0
156,Account 0081,Orders,Shipped,83645.0,Rep B,2023-01-11,2023-01-20,3,Standard,AMBA Sur,Paint store,VAT registered,15.0,Upfront,10.0,6.0
157,Account 0082,Orders,Shipped on credit,80267.0,Rep B,2023-01-11,2023-01-23,1,Potential,AMBA Sur,Art supply store,VAT registered,22.0,Upfront,16.0,6.0
158,Account 0010,Orders,Shipped on credit,83095.0,Rep A,2022-03-04,2022-05-11,1,Strategic,CABA,Art supply store,VAT registered,22.0,Open account,13.0,10.0
159,Account 0029,Orders,Shipped on credit,83516.0,Rep A,2022-05-19,2022-07-06,1,Strategic,CABA,Art supply store,VAT registered,28.0,Open account,16.0,18.0
160,Account 0083,Orders,Shipped,83499.0,Rep A,2022-05-30,2022-07-11,3,Key,AMBA Norte,Art supply store,Simplified regime,7.0,Upfront,9.0,7.0
161,Account 0084,Orders,Shipped on credit,78106.0,Rep A,2022-04-19,2022-08-08,2,Strategic,Neuquen,Paint store,VAT registered,22.0,,10.0,6.0
162,Account 0010,Orders,Shipped on credit,84409.0,Rep A,2021-11-17,2022-05-11,0,Strategic,CABA,Art supply store,VAT registered,22.0,Open account,13.0,10.0
163,Account 0085,Orders,Shipped,77863.0,Rep A,2022-08-16,2022-08-18,0,Key,BA Atlantico,Art supply store,VAT registered,15.0,,9.0,1.0
164,Account 0086,Orders,Shipped on credit,75988.0,Rep A,2021-11-05,2022-05-11,0,Standard,CABA,Workshop,Simplified regime,22.0,Open account,21.0,12.0
165,Account 0087,Orders,Shipped,80094.0,Rep A,2023-03-13,2023-03-17,5,Standard,AMBA Norte,Workshop,Simplified regime,22.0,Upfront,11.0,14.0
166,Account 0088,Orders,Shipped,78608.0,Rep C,2023-03-13,2023-03-21,0,Potential,Santa Fe,Workshop,Simplified regime,22.0,,3.0,1.0
167,Account 0089,Orders,Shipped,82253.0,Rep C,2022-03-25,2022-05-27,5,Potential,Santa Cruz,Paint store,VAT registered,15.0,,12.0,3.0
168,Account 0090,Orders,Shipped,81970.0,Rep A,2022-06-30,2022-07-18,3,Standard,BA Sur,Workshop,Final consumer,15.0,Upfront,7.0,6.0
169,Account 0091,Orders,Shipped,77949.0,Rep C,2022-08-02,2022-08-17,2,Key,Corrientes,Paint store,VAT registered,28.0,,10.0,8.0
170,,Reseller onboarding,Onboarding,82891.0,Rep C,2021-01-29,2023-03-09,5,,,,,,,,
171,,Active customers,Won customer,77642.0,Rep C,2022-04-29,2022-10-31,14,,,,,,,,
172,,Active customers,Won customer,79419.0,Rep C,2022-05-01,2022-10-31,7,,,,,,,,
173,,Active customers,Won customer,77365.0,Rep C,2022-05-10,2022-09-09,12,,,,,,,,
174,,Social media lead form,Onboarding,82758.0,Rep C,2023-02-18,2023-03-13,5,,,,,,,,
175,,Social media lead form,Onboarding,76640.0,Rep C,2023-02-19,2023-03-03,4,,,,,,,,
176,Account 0092,Orders,Shipped,75686.0,Rep A,2022-06-14,2022-08-04,0,Potential,Cordoba,Art supply store,Simplified regime,22.0,,6.0,1.0
177,Account 0093,Orders,Shipped,78423.0,Rep A,2022-06-10,2022-07-07,0,Potential,Santa Fe,Paint store,VAT registered,22.0,Upfront,9.0,6.0
178,Account 0006,Orders,Shipped on credit,82746.0,Rep B,2022-11-28,2022-12-22,1,Strategic,AMBA Sur,Art supply store,VAT registered,22.0,,9.0,5.0
179,Account 0094,Orders,Shipped,81823.0,Rep A,2022-04-11,2022-05-05,0,Standard,CABA,Paint store,VAT registered,22.0,Upfront,10.0,6.0
180,Account 0095,Orders,Shipped,80663.0,Rep A,2022-08-23,2022-08-30,0,Churned,Cordoba,Other,VAT registered,15.0,,17.0,3.0
